"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-01 ~ 2026-07-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"81","부산광역시 해운대구 재송동","1200","1200","0000","더샵센텀파크1차","100.9450","202607","30","118,000","-","5","개인","개인","2005","센텀중앙로 145","-","중개거래","부산 해운대구","-"
"82","부산광역시 사하구 다대동","94-5","0094","0005","다송","41.2700","202607","30","4,700","102","9","개인","개인","1995","다대로381번길 99","-","직거래","-","26.08.06"
"83","부산광역시 해운대구 송정동","199-3","0199","0003","에이스스카이뷰","60.3300","202607","30","21,700","에이스 스카이뷰","11","개인","개인","2019","송정중앙로21번길 19","-","직거래","-","26.08.05"
"84","부산광역시 해운대구 좌동","1445","1445","0000","삼환","59.7600","202607","30","29,550","-","15","개인","개인","1998","좌동순환로299번길 22","-","중개거래","부산 해운대구","-"
"85","부산광역시 해운대구 좌동","1375","1375","0000","경남","58.8040","202607","30","30,400","-","18","개인","개인","1997","좌동순환로99번길 22","-","중개거래","부산 해운대구","-"
"86","부산광역시 해운대구 우동","1408","1408","0000","해운대 I PARK","110.4770","202607","30","163,000","-","11","개인","개인","2011","마린시티2로 38","-","중개거래","부산 해운대구","-"
"87","부산광역시 해운대구 우동","1544","1544","0000","해운대동백두산위브더제니스","84.5400","202607","30","71,000","-","32","개인","개인","2019","해운대로 540","-","직거래","-","-"
"88","부산광역시 해운대구 우동","1008-5","1008","0005","동부올림픽타운","84.9600","202607","30","92,000","-","17","개인","개인","1999","해운대로 428","-","중개거래","부산 해운대구","-"
"89","부산광역시 금정구 구서동","1006-2","1006","0002","선경3","84.9600","202607","30","27,200","-","10","개인","개인","1989","금샘로420번길 13","-","중개거래","부산 금정구","-"
"90","부산광역시 금정구 구서동","1006-2","1006","0002","선경3","84.9600","202607","30","27,200","-","10","개인","개인","1989","금샘로420번길 13","20260806","중개거래","부산 금정구","-"
"91","부산광역시 금정구 구서동","162-4","0162","0004","삼한골든뷰","23.9243","202607","30","5,300","-","22","개인","개인","2014","중앙대로 1967","-","중개거래","부산 금정구","-"
"92","부산광역시 사하구 신평동","669","0669","0000","사하뷰웰","84.7400","202607","30","26,500","-","13","개인","개인","2016","신산북로43번길 59","-","중개거래","부산 사하구","-"
"93","부산광역시 사하구 괴정동","258","0258","0000","경성스마트더블유","49.7693","202607","30","19,500","-","11","개인","개인","2015","낙동대로 180","-","중개거래","부산 사하구","-"
